Anti-Mage,145886963
Axe,196078282
Bane,61172604
Bloodseeker,176689730
Crystal Maiden,143385059
Drow Ranger,205030106
Earthshaker,185688857
Juggernaut,232905599
Mirana,178277919
Morphling,61690399
Shadow Fiend,166510311
Phantom Lancer,118447431
Puck,71572269
Pudge,358538302
Razor,93152391
Sand King,117279836
Storm Spirit,123777825
Sven,143752899
Tiny,116872512
Vengeful Spirit,122327042
Windranger,215983000
Zeus,163129990
Kunkka,119338916
Lina,156372967
Lion,163323488
Shadow Shaman,95760507
Slardar,110278244
Tidehunter,101371422
Witch Doctor,137131760
Lich,95437227
Riki,197697351
Enigma,63871204
Tinker,85377009
Sniper,286487456
Necrophos,130488485
Warlock,85963490
Beastmaster,36306663
Queen of Pain,128288347
Venomancer,85646604
Faceless Void,153249490
Wraith King,140028016
Death Prophet,99122666
Phantom Assassin,242499519
Pugna,59281060
Templar Assassin,102503754
Viper,141744209
Luna,106425107
Dragon Knight,96255177
Dazzle,86554729
Clockwerk,86122684
Leshrac,56477784
Nature's Prophet,149574565
Lifestealer,121858759
Dark Seer,57863896
Clinkz,92485420
Omniknight,100347364
Enchantress,49943368
Huskar,123879481
Night Stalker,68870807
Broodmother,49148901
Bounty Hunter,191042906
Weaver,108035190
Jakiro,77894133
Batrider,46208986
Chen,23093928
Spectre,101303307
Ancient Apparition,74060930
Doom,97018589
Ursa,132242543
Spirit Breaker,157209148
Gyrocopter,89426861
Alchemist,109957838
Invoker,234793107
Silencer,119757787
Outworld Devourer,74323199
Lycan,57094756
Brewmaster,44599496
Shadow Demon,37876010
Lone Druid,47408997
Chaos Knight,84569734
Meepo,45983437
Treant Protector,49330662
Ogre Magi,100146407
Undying,75802740
Rubick,120626567
Disruptor,65882353
Nyx Assassin,93910279
Naga Siren,45279035
Keeper of the Light,61958417
Io,33015337
Visage,27630409
Slark,179181941
Medusa,64858639
Troll Warlord,94684991
Centaur Warrunner,78051004
Magnus,75181524
Timbersaw,76975423
Bristleback,109450619
Tusk,82794463
Skywrath Mage,80872342
Abaddon,76437782
Elder Titan,32222294
Legion Commander,145620873
Techies,55228728
Ember Spirit,95683452
Earth Spirit,35815207
Terrorblade,40906563
Phoenix,38602935
Oracle,19748222
Winter Wyvern,25079340
Arc Warden,7143567
